date,coinbase_unscaled,coinbase_monthly,isPartial,scale,coinbase
2018-03-09,49,7.0,,0.07,3.43
2018-03-10,47,7.0,,0.07,3.2900000000000005
2018-03-11,32,5.0,False,0.05,1.6
2018-03-12,40,5.0,,0.05,2.0
2018-03-13,38,5.0,,0.05,1.9000000000000001
2018-03-14,50,5.0,,0.05,2.5
2018-03-15,46,5.0,,0.05,2.3000000000000003
2018-03-16,38,5.0,,0.05,1.9000000000000001
2018-03-17,37,5.0,,0.05,1.85
2018-03-18,37,4.0,False,0.04,1.48
2018-03-19,42,4.0,,0.04,1.68
2018-03-20,38,4.0,,0.04,1.52
2018-03-21,37,4.0,,0.04,1.48
2018-03-22,39,4.0,,0.04,1.56
2018-03-23,29,4.0,,0.04,1.16
2018-03-24,29,4.0,,0.04,1.16
2018-03-25,33,4.0,False,0.04,1.32
2018-03-26,37,4.0,,0.04,1.48
2018-03-27,43,4.0,,0.04,1.72
2018-03-28,33,4.0,,0.04,1.32
2018-03-29,40,4.0,,0.04,1.6
2018-03-30,38,4.0,,0.04,1.52
2018-03-31,32,4.0,,0.04,1.28
2018-04-01,49,4.0,False,0.04,1.96
2018-04-02,67,4.0,,0.04,2.68
2018-04-03,54,4.0,,0.04,2.16
2018-04-04,58,4.0,,0.04,2.32
2018-04-05,96,4.0,,0.04,3.84
2018-04-06,75,4.0,,0.04,3.0
2018-04-07,51,4.0,,0.04,2.04
2018-04-08,49,4.0,False,0.04,1.96
2018-04-09,69,4.0,,0.04,2.7600000000000002
2018-04-10,71,4.0,,0.04,2.84
2018-04-11,52,4.0,,0.04,2.08
2018-04-12,65,4.0,,0.04,2.6
2018-04-13,86,4.0,,0.04,3.44
2018-04-14,55,4.0,,0.04,2.2
2018-04-15,56,4.0,False,0.04,2.24
2018-04-16,75,4.0,,0.04,3.0
2018-04-17,75,4.0,,0.04,3.0
2018-04-18,62,4.0,,0.04,2.48
2018-04-19,80,4.0,,0.04,3.2
2018-04-20,80,4.0,,0.04,3.2
2018-04-21,82,4.0,,0.04,3.2800000000000002
2018-04-22,71,5.0,False,0.05,3.5500000000000003
2018-04-23,77,5.0,,0.05,3.85
2018-04-24,100,5.0,,0.05,5.0
2018-04-25,74,5.0,,0.05,3.7
2018-04-26,70,5.0,,0.05,3.5
2018-04-27,66,5.0,,0.05,3.3000000000000003
2018-04-28,63,5.0,,0.05,3.1500000000000004
2018-04-29,51,4.0,False,0.04,2.04
2018-04-30,72,4.0,,0.04,2.88
2018-05-01,78,4.0,,0.04,3.12
2018-05-02,80,4.0,,0.04,3.2
2018-05-03,75,4.0,,0.04,3.0
2018-05-04,100,4.0,,0.04,4.0
2018-05-05,94,4.0,,0.04,3.7600000000000002
2018-05-06,49,4.0,False,0.04,1.96
2018-05-07,78,4.0,,0.04,3.12
2018-05-08,87,4.0,,0.04,3.48
2018-05-09,52,4.0,,0.04,2.08
2018-05-10,82,4.0,,0.04,3.2800000000000002
2018-05-11,85,4.0,,0.04,3.4
2018-05-12,74,4.0,,0.04,2.96
2018-05-13,43,4.0,False,0.04,1.72
2018-05-14,84,4.0,,0.04,3.36
2018-05-15,88,4.0,,0.04,3.52
2018-05-16,69,4.0,,0.04,2.7600000000000002
2018-05-17,74,4.0,,0.04,2.96
2018-05-18,65,4.0,,0.04,2.6
2018-05-19,66,4.0,,0.04,2.64
2018-05-20,85,4.0,False,0.04,3.4
2018-05-21,58,4.0,,0.04,2.32
2018-05-22,81,4.0,,0.04,3.24
2018-05-23,86,4.0,,0.04,3.44
2018-05-24,89,4.0,,0.04,3.56
2018-05-25,58,4.0,,0.04,2.32
2018-05-26,46,4.0,,0.04,1.84
2018-05-27,43,3.0,False,0.03,1.29
2018-05-28,49,3.0,,0.03,1.47
