date,btc_unscaled,btc_monthly,isPartial,scale,btc
2020-04-08,61,3.0,,0.03,1.8299999999999998
2020-04-09,60,3.0,,0.03,1.7999999999999998
2020-04-10,60,3.0,,0.03,1.7999999999999998
2020-04-11,52,3.0,,0.03,1.56
2020-04-12,48,3.0,False,0.03,1.44
2020-04-13,64,3.0,,0.03,1.92
2020-04-14,54,3.0,,0.03,1.6199999999999999
2020-04-15,57,3.0,,0.03,1.71
2020-04-16,60,3.0,,0.03,1.7999999999999998
2020-04-17,54,3.0,,0.03,1.6199999999999999
2020-04-18,54,3.0,,0.03,1.6199999999999999
2020-04-19,54,3.0,False,0.03,1.6199999999999999
2020-04-20,54,3.0,,0.03,1.6199999999999999
2020-04-21,54,3.0,,0.03,1.6199999999999999
2020-04-22,55,3.0,,0.03,1.65
2020-04-23,60,3.0,,0.03,1.7999999999999998
2020-04-24,57,3.0,,0.03,1.71
2020-04-25,63,3.0,,0.03,1.89
2020-04-26,59,4.0,False,0.04,2.36
2020-04-27,63,4.0,,0.04,2.52
2020-04-28,57,4.0,,0.04,2.2800000000000002
2020-04-29,86,4.0,,0.04,3.44
2020-04-30,100,4.0,,0.04,4.0
2020-05-01,73,4.0,,0.04,2.92
2020-05-02,65,4.0,,0.04,2.6
2020-05-03,71,5.0,False,0.05,3.5500000000000003
2020-05-04,61,5.0,,0.05,3.0500000000000003
2020-05-05,57,5.0,,0.05,2.85
2020-05-06,71,5.0,,0.05,3.5500000000000003
2020-05-07,79,5.0,,0.05,3.95
2020-05-08,86,5.0,,0.05,4.3
2020-05-09,80,5.0,,0.05,4.0
2020-05-10,100,6.0,False,0.06,6.0
2020-05-11,100,6.0,,0.06,6.0
2020-05-12,85,6.0,,0.06,5.1
2020-05-13,77,6.0,,0.06,4.62
2020-05-14,86,6.0,,0.06,5.16
2020-05-15,75,6.0,,0.06,4.5
2020-05-16,71,6.0,,0.06,4.26
2020-05-17,65,4.0,False,0.04,2.6
2020-05-18,62,4.0,,0.04,2.48
2020-05-19,59,4.0,,0.04,2.36
2020-05-20,63,4.0,,0.04,2.52
2020-05-21,73,4.0,,0.04,2.92
2020-05-22,55,4.0,,0.04,2.2
2020-05-23,53,4.0,,0.04,2.12
2020-05-24,51,4.0,False,0.04,2.04
2020-05-25,59,4.0,,0.04,2.36
2020-05-26,56,4.0,,0.04,2.24
2020-05-27,59,4.0,,0.04,2.36
2020-05-28,53,4.0,,0.04,2.12
2020-05-29,61,4.0,,0.04,2.44
2020-05-30,55,4.0,,0.04,2.2
2020-05-31,52,4.0,False,0.04,2.08
2020-06-01,67,4.0,,0.04,2.68
2020-06-02,100,4.0,,0.04,4.0
2020-06-03,86,4.0,,0.04,3.44
2020-06-04,79,4.0,,0.04,3.16
2020-06-05,70,4.0,,0.04,2.8000000000000003
2020-06-06,73,4.0,,0.04,2.92
2020-06-07,70,4.0,False,0.04,2.8000000000000003
2020-06-08,66,4.0,,0.04,2.64
2020-06-09,66,4.0,,0.04,2.64
2020-06-10,70,4.0,,0.04,2.8000000000000003
2020-06-11,73,4.0,,0.04,2.92
2020-06-12,66,4.0,,0.04,2.64
2020-06-13,62,4.0,,0.04,2.48
2020-06-14,53,3.0,False,0.03,1.5899999999999999
2020-06-15,69,3.0,,0.03,2.07
2020-06-16,59,3.0,,0.03,1.77
2020-06-17,62,3.0,,0.03,1.8599999999999999
2020-06-18,62,3.0,,0.03,1.8599999999999999
2020-06-19,56,3.0,,0.03,1.68
2020-06-20,49,3.0,,0.03,1.47
2020-06-21,54,3.0,False,0.03,1.6199999999999999
2020-06-22,66,3.0,,0.03,1.98
2020-06-23,59,3.0,,0.03,1.77
2020-06-24,64,3.0,,0.03,1.92
2020-06-25,59,3.0,,0.03,1.77
2020-06-26,63,3.0,,0.03,1.89
2020-06-27,58,3.0,,0.03,1.74
2020-06-28,58,3.0,False,0.03,1.74
2020-06-29,63,3.0,,0.03,1.89
2020-06-30,61,3.0,,0.03,1.8299999999999998
2020-07-01,51,3.0,,0.03,1.53
2020-07-02,50,3.0,,0.03,1.5
2020-07-03,46,3.0,,0.03,1.38
2020-07-04,51,3.0,,0.03,1.53
2020-07-05,42,3.0,False,0.03,1.26
2020-07-06,47,3.0,,0.03,1.41
2020-07-07,42,3.0,,0.03,1.26
2020-07-08,47,3.0,,0.03,1.41
2020-07-09,47,3.0,,0.03,1.41
2020-07-10,45,3.0,,0.03,1.3499999999999999
2020-07-11,38,3.0,,0.03,1.14
2020-07-12,39,3.0,False,0.03,1.17
2020-07-13,46,3.0,,0.03,1.38
2020-07-14,48,3.0,,0.03,1.44
2020-07-15,56,3.0,,0.03,1.68
2020-07-16,57,3.0,,0.03,1.71
2020-07-17,46,3.0,,0.03,1.38
2020-07-18,43,3.0,,0.03,1.29
2020-07-19,41,3.0,False,0.03,1.23
2020-07-20,44,3.0,,0.03,1.3199999999999998
2020-07-21,46,3.0,,0.03,1.38
2020-07-22,44,3.0,,0.03,1.3199999999999998
2020-07-23,48,3.0,,0.03,1.44
2020-07-24,47,3.0,,0.03,1.41
2020-07-25,49,3.0,,0.03,1.47
2020-07-26,61,5.0,False,0.05,3.0500000000000003
2020-07-27,93,5.0,,0.05,4.65
2020-07-28,100,5.0,,0.05,5.0
2020-07-29,81,5.0,,0.05,4.05
2020-07-30,62,5.0,,0.05,3.1
2020-07-31,66,5.0,,0.05,3.3000000000000003
2020-08-01,89,5.0,,0.05,4.45
2020-08-02,100,5.0,False,0.05,5.0
2020-08-03,72,5.0,,0.05,3.6
2020-08-04,72,5.0,,0.05,3.6
2020-08-05,69,5.0,,0.05,3.45
2020-08-06,80,5.0,,0.05,4.0
2020-08-07,76,5.0,,0.05,3.8000000000000003
2020-08-08,66,5.0,,0.05,3.3000000000000003
2020-08-09,69,4.0,False,0.04,2.7600000000000002
2020-08-10,73,4.0,,0.04,2.92
2020-08-11,76,4.0,,0.04,3.04
2020-08-12,69,4.0,,0.04,2.7600000000000002
2020-08-13,63,4.0,,0.04,2.52
2020-08-14,67,4.0,,0.04,2.68
2020-08-15,72,4.0,,0.04,2.88
2020-08-16,64,4.0,False,0.04,2.56
2020-08-17,82,4.0,,0.04,3.2800000000000002
2020-08-18,75,4.0,,0.04,3.0
2020-08-19,73,4.0,,0.04,2.92
2020-08-20,68,4.0,,0.04,2.72
2020-08-21,68,4.0,,0.04,2.72
2020-08-22,61,4.0,,0.04,2.44
2020-08-23,49,3.0,False,0.03,1.47
2020-08-24,57,3.0,,0.03,1.71
2020-08-25,61,3.0,,0.03,1.8299999999999998
2020-08-26,61,3.0,,0.03,1.8299999999999998
2020-08-27,55,3.0,,0.03,1.65
2020-08-28,62,3.0,,0.03,1.8599999999999999
2020-08-29,56,3.0,,0.03,1.68
2020-08-30,53,4.0,False,0.04,2.12
2020-08-31,60,4.0,,0.04,2.4
2020-09-01,87,4.0,,0.04,3.48
2020-09-02,89,4.0,,0.04,3.56
2020-09-03,100,4.0,,0.04,4.0
2020-09-04,98,4.0,,0.04,3.92
2020-09-05,95,4.0,,0.04,3.8000000000000003
2020-09-06,82,3.0,False,0.03,2.46
2020-09-07,86,3.0,,0.03,2.58
2020-09-08,85,3.0,,0.03,2.55
2020-09-09,78,3.0,,0.03,2.34
2020-09-10,81,3.0,,0.03,2.4299999999999997
2020-09-11,76,3.0,,0.03,2.28
2020-09-12,73,3.0,,0.03,2.19
2020-09-13,66,3.0,False,0.03,1.98
2020-09-14,64,3.0,,0.03,1.92
2020-09-15,76,3.0,,0.03,2.28
2020-09-16,85,3.0,,0.03,2.55
2020-09-17,69,3.0,,0.03,2.07
2020-09-18,75,3.0,,0.03,2.25
2020-09-19,71,3.0,,0.03,2.13
2020-09-20,60,3.0,False,0.03,1.7999999999999998
2020-09-21,68,3.0,,0.03,2.04
2020-09-22,68,3.0,,0.03,2.04
2020-09-23,72,3.0,,0.03,2.16
2020-09-24,59,3.0,,0.03,1.77
2020-09-25,74,3.0,,0.03,2.2199999999999998
2020-09-26,63,3.0,,0.03,1.89
2020-09-27,55,3.0,False,0.03,1.65
2020-09-28,68,3.0,,0.03,2.04
2020-09-29,70,3.0,,0.03,2.1
