date,bitcoin to usd_unscaled,bitcoin to usd_monthly,isPartial,scale,bitcoin to usd
2018-10-06,65,4.0,,0.04,2.6
2018-10-07,31,4.0,False,0.04,1.24
2018-10-08,48,4.0,,0.04,1.92
2018-10-09,51,4.0,,0.04,2.04
2018-10-10,74,4.0,,0.04,2.96
2018-10-11,100,4.0,,0.04,4.0
2018-10-12,48,4.0,,0.04,1.92
2018-10-13,52,4.0,,0.04,2.08
2018-10-14,61,4.0,False,0.04,2.44
2018-10-15,54,4.0,,0.04,2.16
2018-10-16,37,4.0,,0.04,1.48
2018-10-17,74,4.0,,0.04,2.96
2018-10-18,54,4.0,,0.04,2.16
2018-10-19,65,4.0,,0.04,2.6
2018-10-20,57,4.0,,0.04,2.2800000000000002
2018-10-21,32,4.0,False,0.04,1.28
2018-10-22,24,4.0,,0.04,0.96
2018-10-23,61,4.0,,0.04,2.44
2018-10-24,57,4.0,,0.04,2.2800000000000002
2018-10-25,41,4.0,,0.04,1.6400000000000001
2018-10-26,64,4.0,,0.04,2.56
2018-10-27,36,4.0,,0.04,1.44
2018-10-28,45,4.0,False,0.04,1.8
2018-10-29,58,4.0,,0.04,2.32
2018-10-30,93,4.0,,0.04,3.72
2018-10-31,42,4.0,,0.04,1.68
2018-11-01,42,4.0,,0.04,1.68
2018-11-02,32,4.0,,0.04,1.28
2018-11-03,31,4.0,,0.04,1.24
2018-11-04,62,4.0,False,0.04,2.48
2018-11-05,35,4.0,,0.04,1.4000000000000001
2018-11-06,50,4.0,,0.04,2.0
2018-11-07,41,4.0,,0.04,1.6400000000000001
2018-11-08,56,4.0,,0.04,2.24
2018-11-09,38,4.0,,0.04,1.52
2018-11-10,38,4.0,,0.04,1.52
2018-11-11,37,4.0,False,0.04,1.48
2018-11-12,26,4.0,,0.04,1.04
2018-11-13,43,4.0,,0.04,1.72
2018-11-14,63,4.0,,0.04,2.52
2018-11-15,80,4.0,,0.04,3.2
2018-11-16,80,4.0,,0.04,3.2
2018-11-17,27,4.0,,0.04,1.08
2018-11-18,45,6.0,False,0.06,2.6999999999999997
2018-11-19,64,6.0,,0.06,3.84
2018-11-20,100,6.0,,0.06,6.0
2018-11-21,63,6.0,,0.06,3.78
2018-11-22,62,6.0,,0.06,3.7199999999999998
2018-11-23,66,6.0,,0.06,3.96
2018-11-24,37,6.0,,0.06,2.2199999999999998
2018-11-25,99,6.0,False,0.06,5.9399999999999995
2018-11-26,81,6.0,,0.06,4.859999999999999
2018-11-27,85,6.0,,0.06,5.1
2018-11-28,69,6.0,,0.06,4.14
2018-11-29,44,6.0,,0.06,2.6399999999999997
2018-11-30,54,6.0,,0.06,3.2399999999999998
2018-12-01,47,6.0,,0.06,2.82
2018-12-02,73,6.0,False,0.06,4.38
2018-12-03,65,6.0,,0.06,3.9
2018-12-04,81,6.0,,0.06,4.859999999999999
2018-12-05,77,6.0,,0.06,4.62
2018-12-06,75,6.0,,0.06,4.5
2018-12-07,56,6.0,,0.06,3.36
2018-12-08,91,6.0,,0.06,5.46
2018-12-09,97,6.0,False,0.06,5.819999999999999
2018-12-10,70,6.0,,0.06,4.2
2018-12-11,98,6.0,,0.06,5.88
2018-12-12,72,6.0,,0.06,4.32
2018-12-13,64,6.0,,0.06,3.84
2018-12-14,71,6.0,,0.06,4.26
2018-12-15,78,6.0,,0.06,4.68
2018-12-16,91,5.0,False,0.05,4.55
2018-12-17,88,5.0,,0.05,4.4
2018-12-18,44,5.0,,0.05,2.2
2018-12-19,79,5.0,,0.05,3.95
2018-12-20,62,5.0,,0.05,3.1
2018-12-21,78,5.0,,0.05,3.9000000000000004
2018-12-22,75,5.0,,0.05,3.75
2018-12-23,76,5.0,False,0.05,3.8000000000000003
2018-12-24,60,5.0,,0.05,3.0
2018-12-25,100,5.0,,0.05,5.0
2018-12-26,74,5.0,,0.05,3.7
2018-12-27,36,5.0,,0.05,1.8
2018-12-28,54,5.0,,0.05,2.7
2018-12-29,63,5.0,,0.05,3.1500000000000004
2018-12-30,39,4.0,False,0.04,1.56
2018-12-31,43,4.0,,0.04,1.72
2019-01-01,65,4.0,,0.04,2.6
2019-01-02,42,4.0,,0.04,1.68
2019-01-03,100,4.0,,0.04,4.0
2019-01-04,93,4.0,,0.04,3.72
2019-01-05,76,4.0,,0.04,3.04
2019-01-06,95,4.0,False,0.04,3.8000000000000003
2019-01-07,58,4.0,,0.04,2.32
2019-01-08,71,4.0,,0.04,2.84
2019-01-09,45,4.0,,0.04,1.8
2019-01-10,54,4.0,,0.04,2.16
2019-01-11,88,4.0,,0.04,3.52
2019-01-12,50,4.0,,0.04,2.0
2019-01-13,54,4.0,False,0.04,2.16
2019-01-14,61,4.0,,0.04,2.44
2019-01-15,52,4.0,,0.04,2.08
2019-01-16,58,4.0,,0.04,2.32
2019-01-17,58,4.0,,0.04,2.32
2019-01-18,23,4.0,,0.04,0.92
2019-01-19,55,4.0,,0.04,2.2
2019-01-20,28,3.0,False,0.03,0.84
2019-01-21,53,3.0,,0.03,1.5899999999999999
2019-01-22,48,3.0,,0.03,1.44
2019-01-23,47,3.0,,0.03,1.41
2019-01-24,52,3.0,,0.03,1.56
2019-01-25,27,3.0,,0.03,0.8099999999999999
2019-01-26,25,3.0,,0.03,0.75
2019-01-27,29,3.0,False,0.03,0.87
2019-01-28,52,3.0,,0.03,1.56
2019-01-29,57,3.0,,0.03,1.71
2019-01-30,39,3.0,,0.03,1.17
2019-01-31,44,3.0,,0.03,1.3199999999999998
2019-02-01,66,3.0,,0.03,1.98
2019-02-02,61,3.0,,0.03,1.8299999999999998
2019-02-03,65,4.0,False,0.04,2.6
2019-02-04,69,4.0,,0.04,2.7600000000000002
2019-02-05,53,4.0,,0.04,2.12
2019-02-06,52,4.0,,0.04,2.08
2019-02-07,53,4.0,,0.04,2.12
2019-02-08,66,4.0,,0.04,2.64
2019-02-09,91,4.0,,0.04,3.64
2019-02-10,71,3.0,False,0.03,2.13
2019-02-11,88,3.0,,0.03,2.6399999999999997
2019-02-12,67,3.0,,0.03,2.01
2019-02-13,47,3.0,,0.03,1.41
2019-02-14,64,3.0,,0.03,1.92
2019-02-15,61,3.0,,0.03,1.8299999999999998
2019-02-16,66,3.0,,0.03,1.98
2019-02-17,55,4.0,False,0.04,2.2
2019-02-18,85,4.0,,0.04,3.4
2019-02-19,78,4.0,,0.04,3.12
2019-02-20,100,4.0,,0.04,4.0
2019-02-21,68,4.0,,0.04,2.72
2019-02-22,83,4.0,,0.04,3.3200000000000003
2019-02-23,54,4.0,,0.04,2.16
2019-02-24,42,3.0,False,0.03,1.26
2019-02-25,63,3.0,,0.03,1.89
2019-02-26,58,3.0,,0.03,1.74
2019-02-27,31,3.0,,0.03,0.9299999999999999
2019-02-28,64,3.0,,0.03,1.92
2019-03-01,41,3.0,,0.03,1.23
2019-03-02,53,3.0,,0.03,1.5899999999999999
2019-03-03,53,3.0,False,0.03,1.5899999999999999
2019-03-04,61,3.0,,0.03,1.8299999999999998
2019-03-05,87,3.0,,0.03,2.61
2019-03-06,97,3.0,,0.03,2.9099999999999997
2019-03-07,41,3.0,,0.03,1.23
2019-03-08,35,3.0,,0.03,1.05
2019-03-09,54,3.0,,0.03,1.6199999999999999
2019-03-10,45,3.0,False,0.03,1.3499999999999999
2019-03-11,59,3.0,,0.03,1.77
2019-03-12,92,3.0,,0.03,2.76
2019-03-13,79,3.0,,0.03,2.37
2019-03-14,47,3.0,,0.03,1.41
2019-03-15,69,3.0,,0.03,2.07
2019-03-16,92,3.0,,0.03,2.76
2019-03-17,30,3.0,False,0.03,0.8999999999999999
2019-03-18,80,3.0,,0.03,2.4
2019-03-19,44,3.0,,0.03,1.3199999999999998
2019-03-20,60,3.0,,0.03,1.7999999999999998
2019-03-21,97,3.0,,0.03,2.9099999999999997
2019-03-22,77,3.0,,0.03,2.31
2019-03-23,100,3.0,,0.03,3.0
2019-03-24,42,2.0,False,0.02,0.84
2019-03-25,67,2.0,,0.02,1.34
2019-03-26,60,2.0,,0.02,1.2
2019-03-27,74,2.0,,0.02,1.48
2019-03-28,48,2.0,,0.02,0.96
2019-03-29,57,2.0,,0.02,1.1400000000000001
2019-03-30,55,2.0,,0.02,1.1
2019-03-31,54,5.0,False,0.05,2.7
2019-04-01,65,5.0,,0.05,3.25
2019-04-02,75,5.0,,0.05,3.75
2019-04-03,100,5.0,,0.05,5.0
2019-04-04,87,5.0,,0.05,4.3500000000000005
2019-04-05,100,5.0,,0.05,5.0
2019-04-06,59,5.0,,0.05,2.95
2019-04-07,50,4.0,False,0.04,2.0
2019-04-08,60,4.0,,0.04,2.4
2019-04-09,34,4.0,,0.04,1.36
2019-04-10,43,4.0,,0.04,1.72
2019-04-11,66,4.0,,0.04,2.64
2019-04-12,69,4.0,,0.04,2.7600000000000002
2019-04-13,57,4.0,,0.04,2.2800000000000002
2019-04-14,50,4.0,False,0.04,2.0
2019-04-15,57,4.0,,0.04,2.2800000000000002
2019-04-16,53,4.0,,0.04,2.12
2019-04-17,45,4.0,,0.04,1.8
2019-04-18,65,4.0,,0.04,2.6
2019-04-19,50,4.0,,0.04,2.0
