date,bitcoin news_unscaled,bitcoin news_monthly,isPartial,scale,bitcoin news
2020-01-01,16,7.0,,0.07,1.12
2020-01-02,56,7.0,,0.07,3.9200000000000004
2020-01-03,54,7.0,,0.07,3.7800000000000002
2020-01-04,50,7.0,,0.07,3.5000000000000004
2020-01-05,59,13.0,False,0.13,7.67
2020-01-06,50,13.0,,0.13,6.5
2020-01-07,65,13.0,,0.13,8.450000000000001
2020-01-08,78,13.0,,0.13,10.14
2020-01-09,36,13.0,,0.13,4.68
2020-01-10,47,13.0,,0.13,6.11
2020-01-11,55,13.0,,0.13,7.15
2020-01-12,36,11.0,False,0.11,3.96
2020-01-13,48,11.0,,0.11,5.28
2020-01-14,88,11.0,,0.11,9.68
2020-01-15,100,11.0,,0.11,11.0
2020-01-16,56,11.0,,0.11,6.16
2020-01-17,47,11.0,,0.11,5.17
2020-01-18,55,11.0,,0.11,6.05
2020-01-19,43,9.0,False,0.09,3.8699999999999997
2020-01-20,59,9.0,,0.09,5.31
2020-01-21,74,9.0,,0.09,6.66
2020-01-22,36,9.0,,0.09,3.2399999999999998
2020-01-23,45,9.0,,0.09,4.05
2020-01-24,37,9.0,,0.09,3.33
2020-01-25,48,9.0,,0.09,4.32
2020-01-26,46,13.0,False,0.13,5.98
2020-01-27,53,13.0,,0.13,6.890000000000001
2020-01-28,93,13.0,,0.13,12.09
2020-01-29,67,13.0,,0.13,8.71
2020-01-30,63,13.0,,0.13,8.19
2020-01-31,84,13.0,,0.13,10.92
2020-02-01,55,13.0,,0.13,7.15
2020-02-02,61,12.0,False,0.12,7.319999999999999
2020-02-03,67,12.0,,0.12,8.04
2020-02-04,63,12.0,,0.12,7.56
2020-02-05,80,12.0,,0.12,9.6
2020-02-06,69,12.0,,0.12,8.28
2020-02-07,72,12.0,,0.12,8.64
2020-02-08,78,12.0,,0.12,9.36
2020-02-09,72,15.0,False,0.15,10.799999999999999
2020-02-10,74,15.0,,0.15,11.1
2020-02-11,87,15.0,,0.15,13.049999999999999
2020-02-12,85,15.0,,0.15,12.75
2020-02-13,59,15.0,,0.15,8.85
2020-02-14,68,15.0,,0.15,10.2
2020-02-15,70,15.0,,0.15,10.5
2020-02-16,49,13.0,False,0.13,6.37
2020-02-17,79,13.0,,0.13,10.27
2020-02-18,100,13.0,,0.13,13.0
2020-02-19,67,13.0,,0.13,8.71
2020-02-20,68,13.0,,0.13,8.84
2020-02-21,39,13.0,,0.13,5.07
2020-02-22,30,13.0,,0.13,3.9000000000000004
2020-02-23,61,13.0,False,0.13,7.930000000000001
2020-02-24,51,13.0,,0.13,6.63
2020-02-25,81,13.0,,0.13,10.530000000000001
2020-02-26,82,13.0,,0.13,10.66
2020-02-27,46,13.0,,0.13,5.98
2020-02-28,79,13.0,,0.13,10.27
2020-02-29,30,13.0,,0.13,3.9000000000000004
2020-03-01,23,14.0,False,0.14,3.22
2020-03-02,36,14.0,,0.14,5.040000000000001
2020-03-03,37,14.0,,0.14,5.180000000000001
2020-03-04,35,14.0,,0.14,4.9
2020-03-05,38,14.0,,0.14,5.32
2020-03-06,40,14.0,,0.14,5.6000000000000005
2020-03-07,39,14.0,,0.14,5.460000000000001
2020-03-08,38,26.0,False,0.26,9.88
2020-03-09,76,26.0,,0.26,19.76
2020-03-10,37,26.0,,0.26,9.620000000000001
2020-03-11,48,26.0,,0.26,12.48
2020-03-12,79,26.0,,0.26,20.54
2020-03-13,100,26.0,,0.26,26.0
2020-03-14,61,26.0,,0.26,15.860000000000001
2020-03-15,55,25.0,False,0.25,13.75
2020-03-16,83,25.0,,0.25,20.75
2020-03-17,52,25.0,,0.25,13.0
2020-03-18,47,25.0,,0.25,11.75
2020-03-19,69,25.0,,0.25,17.25
2020-03-20,52,25.0,,0.25,13.0
2020-03-21,65,25.0,,0.25,16.25
2020-03-22,39,15.0,False,0.15,5.85
2020-03-23,43,15.0,,0.15,6.45
2020-03-24,55,15.0,,0.15,8.25
2020-03-25,35,15.0,,0.15,5.25
2020-03-26,34,15.0,,0.15,5.1
2020-03-27,38,15.0,,0.15,5.7
2020-03-28,38,15.0,,0.15,5.7
2020-03-29,24,11.0,False,0.11,2.64
