date,bitcoin price usd_unscaled,bitcoin price usd_monthly,isPartial,scale,bitcoin price usd
2018-05-02,58,7.0,,0.07,4.0600000000000005
2018-05-03,47,7.0,,0.07,3.2900000000000005
2018-05-04,65,7.0,,0.07,4.550000000000001
2018-05-05,98,7.0,,0.07,6.86
2018-05-06,63,6.0,False,0.06,3.78
2018-05-07,47,6.0,,0.06,2.82
2018-05-08,40,6.0,,0.06,2.4
2018-05-09,88,6.0,,0.06,5.279999999999999
2018-05-10,44,6.0,,0.06,2.6399999999999997
2018-05-11,57,6.0,,0.06,3.42
2018-05-12,80,6.0,,0.06,4.8
2018-05-13,68,5.0,False,0.05,3.4000000000000004
2018-05-14,47,5.0,,0.05,2.35
2018-05-15,46,5.0,,0.05,2.3000000000000003
2018-05-16,54,5.0,,0.05,2.7
2018-05-17,66,5.0,,0.05,3.3000000000000003
2018-05-18,50,5.0,,0.05,2.5
2018-05-19,63,5.0,,0.05,3.1500000000000004
2018-05-20,42,6.0,False,0.06,2.52
2018-05-21,63,6.0,,0.06,3.78
2018-05-22,40,6.0,,0.06,2.4
2018-05-23,77,6.0,,0.06,4.62
2018-05-24,92,6.0,,0.06,5.52
2018-05-25,70,6.0,,0.06,4.2
2018-05-26,34,6.0,,0.06,2.04
2018-05-27,72,6.0,False,0.06,4.32
2018-05-28,56,6.0,,0.06,3.36
2018-05-29,87,6.0,,0.06,5.22
2018-05-30,69,6.0,,0.06,4.14
2018-05-31,52,6.0,,0.06,3.12
2018-06-01,40,6.0,,0.06,2.4
2018-06-02,72,6.0,,0.06,4.32
2018-06-03,44,4.0,False,0.04,1.76
2018-06-04,27,4.0,,0.04,1.08
2018-06-05,49,4.0,,0.04,1.96
2018-06-06,57,4.0,,0.04,2.2800000000000002
2018-06-07,50,4.0,,0.04,2.0
2018-06-08,44,4.0,,0.04,1.76
2018-06-09,36,4.0,,0.04,1.44
2018-06-10,71,6.0,False,0.06,4.26
2018-06-11,77,6.0,,0.06,4.62
2018-06-12,86,6.0,,0.06,5.16
2018-06-13,74,6.0,,0.06,4.4399999999999995
2018-06-14,74,6.0,,0.06,4.4399999999999995
2018-06-15,100,6.0,,0.06,6.0
2018-06-16,57,6.0,,0.06,3.42
