date,bitcoin dolar_unscaled,bitcoin dolar_monthly,isPartial,scale,bitcoin dolar
2018-03-03,73,5.0,,0.05,3.6500000000000004
2018-03-04,40,5.0,False,0.05,2.0
2018-03-05,63,5.0,,0.05,3.1500000000000004
2018-03-06,56,5.0,,0.05,2.8000000000000003
2018-03-07,57,5.0,,0.05,2.85
2018-03-08,57,5.0,,0.05,2.85
2018-03-09,67,5.0,,0.05,3.35
2018-03-10,16,5.0,,0.05,0.8
2018-03-11,63,5.0,False,0.05,3.1500000000000004
2018-03-12,43,5.0,,0.05,2.15
2018-03-13,63,5.0,,0.05,3.1500000000000004
2018-03-14,63,5.0,,0.05,3.1500000000000004
2018-03-15,57,5.0,,0.05,2.85
2018-03-16,80,5.0,,0.05,4.0
2018-03-17,73,5.0,,0.05,3.6500000000000004
2018-03-18,56,5.0,False,0.05,2.8000000000000003
2018-03-19,71,5.0,,0.05,3.5500000000000003
2018-03-20,71,5.0,,0.05,3.5500000000000003
2018-03-21,71,5.0,,0.05,3.5500000000000003
2018-03-22,100,5.0,,0.05,5.0
2018-03-23,59,5.0,,0.05,2.95
2018-03-24,67,5.0,,0.05,3.35
2018-03-25,25,4.0,False,0.04,1.0
2018-03-26,72,4.0,,0.04,2.88
2018-03-27,36,4.0,,0.04,1.44
2018-03-28,59,4.0,,0.04,2.36
2018-03-29,83,4.0,,0.04,3.3200000000000003
2018-03-30,72,4.0,,0.04,2.88
2018-03-31,51,4.0,,0.04,2.04
2018-04-01,27,6.0,False,0.06,1.6199999999999999
2018-04-02,72,6.0,,0.06,4.32
2018-04-03,67,6.0,,0.06,4.02
2018-04-04,34,6.0,,0.06,2.04
2018-04-05,98,6.0,,0.06,5.88
2018-04-06,95,6.0,,0.06,5.7
2018-04-07,32,6.0,,0.06,1.92
2018-04-08,39,7.0,False,0.07,2.7300000000000004
2018-04-09,45,7.0,,0.07,3.1500000000000004
2018-04-10,100,7.0,,0.07,7.000000000000001
2018-04-11,61,7.0,,0.07,4.2700000000000005
2018-04-12,28,7.0,,0.07,1.9600000000000002
2018-04-13,53,7.0,,0.07,3.7100000000000004
2018-04-14,85,7.0,,0.07,5.95
2018-04-15,32,5.0,False,0.05,1.6
2018-04-16,45,5.0,,0.05,2.25
2018-04-17,51,5.0,,0.05,2.5500000000000003
2018-04-18,57,5.0,,0.05,2.85
2018-04-19,76,5.0,,0.05,3.8000000000000003
2018-04-20,90,5.0,,0.05,4.5
2018-04-21,20,5.0,,0.05,1.0
2018-04-22,65,4.0,False,0.04,2.6
2018-04-23,27,4.0,,0.04,1.08
2018-04-24,72,4.0,,0.04,2.88
2018-04-25,34,4.0,,0.04,1.36
2018-04-26,51,4.0,,0.04,2.04
2018-04-27,18,4.0,,0.04,0.72
2018-04-28,13,4.0,,0.04,0.52
2018-04-29,26,3.0,False,0.03,0.78
2018-04-30,23,3.0,,0.03,0.69
2018-05-01,43,3.0,,0.03,1.29
2018-05-02,65,3.0,,0.03,1.95
2018-05-03,74,3.0,,0.03,2.2199999999999998
2018-05-04,86,3.0,,0.03,2.58
2018-05-05,57,3.0,,0.03,1.71
2018-05-06,28,4.0,False,0.04,1.12
2018-05-07,41,4.0,,0.04,1.6400000000000001
2018-05-08,41,4.0,,0.04,1.6400000000000001
2018-05-09,58,4.0,,0.04,2.32
2018-05-10,41,4.0,,0.04,1.6400000000000001
2018-05-11,68,4.0,,0.04,2.72
2018-05-12,48,4.0,,0.04,1.92
2018-05-13,19,4.0,False,0.04,0.76
2018-05-14,90,4.0,,0.04,3.6
2018-05-15,40,4.0,,0.04,1.6
2018-05-16,82,4.0,,0.04,3.2800000000000002
2018-05-17,25,4.0,,0.04,1.0
2018-05-18,35,4.0,,0.04,1.4000000000000001
2018-05-19,38,4.0,,0.04,1.52
2018-05-20,48,5.0,False,0.05,2.4000000000000004
2018-05-21,58,5.0,,0.05,2.9000000000000004
2018-05-22,82,5.0,,0.05,4.1000000000000005
2018-05-23,75,5.0,,0.05,3.75
2018-05-24,100,5.0,,0.05,5.0
2018-05-25,96,5.0,,0.05,4.800000000000001
2018-05-26,48,5.0,,0.05,2.4000000000000004
2018-05-27,29,4.0,False,0.04,1.16
2018-05-28,42,4.0,,0.04,1.68
2018-05-29,98,4.0,,0.04,3.92
2018-05-30,74,4.0,,0.04,2.96
2018-05-31,75,4.0,,0.04,3.0
2018-06-01,95,4.0,,0.04,3.8000000000000003
2018-06-02,66,4.0,,0.04,2.64
2018-06-03,65,3.0,False,0.03,1.95
2018-06-04,56,3.0,,0.03,1.68
2018-06-05,100,3.0,,0.03,3.0
2018-06-06,11,3.0,,0.03,0.32999999999999996
2018-06-07,90,3.0,,0.03,2.6999999999999997
2018-06-08,59,3.0,,0.03,1.77
2018-06-09,79,3.0,,0.03,2.37
2018-06-10,65,4.0,False,0.04,2.6
2018-06-11,97,4.0,,0.04,3.88
2018-06-12,81,4.0,,0.04,3.24
2018-06-13,93,4.0,,0.04,3.72
2018-06-14,65,4.0,,0.04,2.6
2018-06-15,94,4.0,,0.04,3.7600000000000002
2018-06-16,26,4.0,,0.04,1.04
2018-06-17,89,2.0,False,0.02,1.78
2018-06-18,55,2.0,,0.02,1.1
2018-06-19,76,2.0,,0.02,1.52
2018-06-20,100,2.0,,0.02,2.0
2018-06-21,0,2.0,,0.02,0.0
2018-06-22,81,2.0,,0.02,1.62
2018-06-23,38,2.0,,0.02,0.76
2018-06-24,25,2.0,False,0.02,0.5
2018-06-25,87,2.0,,0.02,1.74
2018-06-26,87,2.0,,0.02,1.74
2018-06-27,76,2.0,,0.02,1.52
2018-06-28,44,2.0,,0.02,0.88
2018-06-29,59,2.0,,0.02,1.18
2018-06-30,77,2.0,,0.02,1.54
2018-07-01,25,3.0,False,0.03,0.75
2018-07-02,82,3.0,,0.03,2.46
2018-07-03,37,3.0,,0.03,1.1099999999999999
2018-07-04,24,3.0,,0.03,0.72
2018-07-05,23,3.0,,0.03,0.69
2018-07-06,15,3.0,,0.03,0.44999999999999996
2018-07-07,43,3.0,,0.03,1.29
2018-07-08,51,4.0,False,0.04,2.04
2018-07-09,67,4.0,,0.04,2.68
2018-07-10,51,4.0,,0.04,2.04
2018-07-11,76,4.0,,0.04,3.04
2018-07-12,94,4.0,,0.04,3.7600000000000002
2018-07-13,16,4.0,,0.04,0.64
2018-07-14,27,4.0,,0.04,1.08
2018-07-15,26,4.0,False,0.04,1.04
2018-07-16,39,4.0,,0.04,1.56
2018-07-17,69,4.0,,0.04,2.7600000000000002
2018-07-18,54,4.0,,0.04,2.16
2018-07-19,47,4.0,,0.04,1.8800000000000001
2018-07-20,32,4.0,,0.04,1.28
2018-07-21,35,4.0,,0.04,1.4000000000000001
2018-07-22,18,4.0,False,0.04,0.72
2018-07-23,77,4.0,,0.04,3.08
2018-07-24,99,4.0,,0.04,3.96
2018-07-25,100,4.0,,0.04,4.0
2018-07-26,70,4.0,,0.04,2.8000000000000003
2018-07-27,79,4.0,,0.04,3.16
2018-07-28,26,4.0,,0.04,1.04
2018-07-29,62,5.0,False,0.05,3.1
2018-07-30,68,5.0,,0.05,3.4000000000000004
2018-07-31,60,5.0,,0.05,3.0
2018-08-01,11,5.0,,0.05,0.55
2018-08-02,28,5.0,,0.05,1.4000000000000001
2018-08-03,38,5.0,,0.05,1.9000000000000001
2018-08-04,8,5.0,,0.05,0.4
2018-08-05,8,7.0,False,0.07,0.56
2018-08-06,57,7.0,,0.07,3.99
2018-08-07,38,7.0,,0.07,2.66
2018-08-08,32,7.0,,0.07,2.24
2018-08-09,36,7.0,,0.07,2.5200000000000005
2018-08-10,100,7.0,,0.07,7.000000000000001
2018-08-11,41,7.0,,0.07,2.87
2018-08-12,65,8.0,False,0.08,5.2
2018-08-13,83,8.0,,0.08,6.640000000000001
2018-08-14,54,8.0,,0.08,4.32
2018-08-15,48,8.0,,0.08,3.84
2018-08-16,55,8.0,,0.08,4.4
2018-08-17,26,8.0,,0.08,2.08
2018-08-18,30,8.0,,0.08,2.4
2018-08-19,34,6.0,False,0.06,2.04
2018-08-20,45,6.0,,0.06,2.6999999999999997
2018-08-21,48,6.0,,0.06,2.88
2018-08-22,60,6.0,,0.06,3.5999999999999996
2018-08-23,44,6.0,,0.06,2.6399999999999997
2018-08-24,64,6.0,,0.06,3.84
2018-08-25,17,6.0,,0.06,1.02
2018-08-26,12,5.0,False,0.05,0.6000000000000001
2018-08-27,29,5.0,,0.05,1.4500000000000002
2018-08-28,43,5.0,,0.05,2.15
2018-08-29,54,5.0,,0.05,2.7
2018-08-30,72,5.0,,0.05,3.6
2018-08-31,74,5.0,,0.05,3.7
2018-09-01,72,5.0,,0.05,3.6
2018-09-02,58,6.0,False,0.06,3.48
2018-09-03,72,6.0,,0.06,4.32
2018-09-04,74,6.0,,0.06,4.4399999999999995
2018-09-05,75,6.0,,0.06,4.5
2018-09-06,94,6.0,,0.06,5.64
2018-09-07,47,6.0,,0.06,2.82
2018-09-08,51,6.0,,0.06,3.06
2018-09-09,14,5.0,False,0.05,0.7000000000000001
2018-09-10,74,5.0,,0.05,3.7
2018-09-11,62,5.0,,0.05,3.1
2018-09-12,43,5.0,,0.05,2.15
2018-09-13,32,5.0,,0.05,1.6
2018-09-14,52,5.0,,0.05,2.6
2018-09-15,36,5.0,,0.05,1.8
2018-09-16,28,4.0,False,0.04,1.12
2018-09-17,57,4.0,,0.04,2.2800000000000002
2018-09-18,50,4.0,,0.04,2.0
2018-09-19,31,4.0,,0.04,1.24
2018-09-20,75,4.0,,0.04,3.0
2018-09-21,46,4.0,,0.04,1.84
2018-09-22,29,4.0,,0.04,1.16
2018-09-23,49,5.0,False,0.05,2.45
2018-09-24,37,5.0,,0.05,1.85
2018-09-25,100,5.0,,0.05,5.0
2018-09-26,68,5.0,,0.05,3.4000000000000004
2018-09-27,38,5.0,,0.05,1.9000000000000001
2018-09-28,65,5.0,,0.05,3.25
2018-09-29,80,5.0,,0.05,4.0
2018-09-30,14,4.0,False,0.04,0.56
2018-10-01,41,4.0,,0.04,1.6400000000000001
2018-10-02,35,4.0,,0.04,1.4000000000000001
2018-10-03,63,4.0,,0.04,2.52
2018-10-04,59,4.0,,0.04,2.36
2018-10-05,31,4.0,,0.04,1.24
2018-10-06,27,4.0,,0.04,1.08
2018-10-07,26,4.0,False,0.04,1.04
2018-10-08,29,4.0,,0.04,1.16
2018-10-09,67,4.0,,0.04,2.68
2018-10-10,41,4.0,,0.04,1.6400000000000001
2018-10-11,54,4.0,,0.04,2.16
2018-10-12,57,4.0,,0.04,2.2800000000000002
2018-10-13,55,4.0,,0.04,2.2
2018-10-14,34,5.0,False,0.05,1.7000000000000002
2018-10-15,60,5.0,,0.05,3.0
2018-10-16,100,5.0,,0.05,5.0
2018-10-17,47,5.0,,0.05,2.35
2018-10-18,78,5.0,,0.05,3.9000000000000004
2018-10-19,56,5.0,,0.05,2.8000000000000003
2018-10-20,34,5.0,,0.05,1.7000000000000002
2018-10-21,20,4.0,False,0.04,0.8
2018-10-22,88,4.0,,0.04,3.52
2018-10-23,35,4.0,,0.04,1.4000000000000001
2018-10-24,59,4.0,,0.04,2.36
2018-10-25,41,4.0,,0.04,1.6400000000000001
2018-10-26,62,4.0,,0.04,2.48
2018-10-27,39,4.0,,0.04,1.56
2018-10-28,39,4.0,False,0.04,1.56
2018-10-29,72,4.0,,0.04,2.88
2018-10-30,29,4.0,,0.04,1.16
2018-10-31,12,4.0,,0.04,0.48
2018-11-01,31,4.0,,0.04,1.24
2018-11-02,9,4.0,,0.04,0.36
2018-11-03,14,4.0,,0.04,0.56
2018-11-04,18,4.0,False,0.04,0.72
2018-11-05,28,4.0,,0.04,1.12
2018-11-06,17,4.0,,0.04,0.68
2018-11-07,44,4.0,,0.04,1.76
2018-11-08,41,4.0,,0.04,1.6400000000000001
2018-11-09,39,4.0,,0.04,1.56
2018-11-10,24,4.0,,0.04,0.96
2018-11-11,32,4.0,False,0.04,1.28
2018-11-12,17,4.0,,0.04,0.68
2018-11-13,20,4.0,,0.04,0.8
2018-11-14,46,4.0,,0.04,1.84
2018-11-15,50,4.0,,0.04,2.0
2018-11-16,39,4.0,,0.04,1.56
2018-11-17,39,4.0,,0.04,1.56
2018-11-18,28,6.0,False,0.06,1.68
2018-11-19,17,6.0,,0.06,1.02
2018-11-20,100,6.0,,0.06,6.0
2018-11-21,62,6.0,,0.06,3.7199999999999998
2018-11-22,69,6.0,,0.06,4.14
2018-11-23,39,6.0,,0.06,2.34
2018-11-24,23,6.0,,0.06,1.38
2018-11-25,46,7.0,False,0.07,3.22
2018-11-26,77,7.0,,0.07,5.390000000000001
2018-11-27,41,7.0,,0.07,2.87
2018-11-28,74,7.0,,0.07,5.180000000000001
2018-11-29,29,7.0,,0.07,2.0300000000000002
2018-11-30,42,7.0,,0.07,2.9400000000000004
2018-12-01,32,7.0,,0.07,2.24
2018-12-02,55,6.0,False,0.06,3.3
2018-12-03,70,6.0,,0.06,4.2
2018-12-04,90,6.0,,0.06,5.3999999999999995
2018-12-05,69,6.0,,0.06,4.14
2018-12-06,71,6.0,,0.06,4.26
2018-12-07,67,6.0,,0.06,4.02
2018-12-08,50,6.0,,0.06,3.0
2018-12-09,16,5.0,False,0.05,0.8
2018-12-10,56,5.0,,0.05,2.8000000000000003
2018-12-11,42,5.0,,0.05,2.1
2018-12-12,80,5.0,,0.05,4.0
2018-12-13,81,5.0,,0.05,4.05
2018-12-14,100,5.0,,0.05,5.0
2018-12-15,42,5.0,,0.05,2.1
2018-12-16,66,4.0,False,0.04,2.64
2018-12-17,72,4.0,,0.04,2.88
2018-12-18,82,4.0,,0.04,3.2800000000000002
2018-12-19,91,4.0,,0.04,3.64
2018-12-20,84,4.0,,0.04,3.36
2018-12-21,71,4.0,,0.04,2.84
2018-12-22,26,4.0,,0.04,1.04
2018-12-23,78,5.0,False,0.05,3.9000000000000004
2018-12-24,77,5.0,,0.05,3.85
2018-12-25,45,5.0,,0.05,2.25
2018-12-26,40,5.0,,0.05,2.0
2018-12-27,62,5.0,,0.05,3.1
2018-12-28,54,5.0,,0.05,2.7
2018-12-29,100,5.0,,0.05,5.0
2018-12-30,50,5.0,False,0.05,2.5
2018-12-31,17,5.0,,0.05,0.8500000000000001
2019-01-01,38,5.0,,0.05,1.9000000000000001
2019-01-02,65,5.0,,0.05,3.25
2019-01-03,100,5.0,,0.05,5.0
2019-01-04,64,5.0,,0.05,3.2
2019-01-05,35,5.0,,0.05,1.75
2019-01-06,35,6.0,False,0.06,2.1
2019-01-07,36,6.0,,0.06,2.16
2019-01-08,67,6.0,,0.06,4.02
2019-01-09,62,6.0,,0.06,3.7199999999999998
2019-01-10,73,6.0,,0.06,4.38
2019-01-11,43,6.0,,0.06,2.58
2019-01-12,58,6.0,,0.06,3.48
2019-01-13,23,4.0,False,0.04,0.92
2019-01-14,30,4.0,,0.04,1.2
2019-01-15,50,4.0,,0.04,2.0
2019-01-16,46,4.0,,0.04,1.84
2019-01-17,31,4.0,,0.04,1.24
2019-01-18,42,4.0,,0.04,1.68
2019-01-19,23,4.0,,0.04,0.92
2019-01-20,16,4.0,False,0.04,0.64
2019-01-21,41,4.0,,0.04,1.6400000000000001
2019-01-22,25,4.0,,0.04,1.0
2019-01-23,84,4.0,,0.04,3.36
2019-01-24,45,4.0,,0.04,1.8
2019-01-25,15,4.0,,0.04,0.6
2019-01-26,23,4.0,,0.04,0.92
2019-01-27,56,4.0,False,0.04,2.24
2019-01-28,45,4.0,,0.04,1.8
2019-01-29,46,4.0,,0.04,1.84
2019-01-30,46,4.0,,0.04,1.84
2019-01-31,41,4.0,,0.04,1.6400000000000001
2019-02-01,43,4.0,,0.04,1.72
2019-02-02,18,4.0,,0.04,0.72
2019-02-03,12,4.0,False,0.04,0.48
2019-02-04,26,4.0,,0.04,1.04
2019-02-05,47,4.0,,0.04,1.8800000000000001
2019-02-06,21,4.0,,0.04,0.84
2019-02-07,73,4.0,,0.04,2.92
2019-02-08,11,4.0,,0.04,0.44
2019-02-09,18,4.0,,0.04,0.72
2019-02-10,29,4.0,False,0.04,1.16
2019-02-11,61,4.0,,0.04,2.44
2019-02-12,31,4.0,,0.04,1.24
2019-02-13,20,4.0,,0.04,0.8
2019-02-14,21,4.0,,0.04,0.84
2019-02-15,38,4.0,,0.04,1.52
2019-02-16,12,4.0,,0.04,0.48
2019-02-17,36,5.0,False,0.05,1.8
2019-02-18,100,5.0,,0.05,5.0
2019-02-19,62,5.0,,0.05,3.1
2019-02-20,26,5.0,,0.05,1.3
2019-02-21,26,5.0,,0.05,1.3
2019-02-22,49,5.0,,0.05,2.45
2019-02-23,42,5.0,,0.05,2.1
2019-02-24,6,3.0,False,0.03,0.18
2019-02-25,62,3.0,,0.03,1.8599999999999999
2019-02-26,31,3.0,,0.03,0.9299999999999999
2019-02-27,30,3.0,,0.03,0.8999999999999999
2019-02-28,26,3.0,,0.03,0.78
2019-03-01,51,3.0,,0.03,1.53
2019-03-02,16,3.0,,0.03,0.48
2019-03-03,40,3.0,False,0.03,1.2
2019-03-04,50,3.0,,0.03,1.5
2019-03-05,14,3.0,,0.03,0.42
2019-03-06,41,3.0,,0.03,1.23
2019-03-07,79,3.0,,0.03,2.37
2019-03-08,52,3.0,,0.03,1.56
2019-03-09,49,3.0,,0.03,1.47
2019-03-10,39,4.0,False,0.04,1.56
2019-03-11,63,4.0,,0.04,2.52
2019-03-12,63,4.0,,0.04,2.52
2019-03-13,7,4.0,,0.04,0.28
2019-03-14,85,4.0,,0.04,3.4
2019-03-15,80,4.0,,0.04,3.2
2019-03-16,65,4.0,,0.04,2.6
2019-03-17,56,4.0,False,0.04,2.24
2019-03-18,35,4.0,,0.04,1.4000000000000001
2019-03-19,40,4.0,,0.04,1.6
2019-03-20,71,4.0,,0.04,2.84
2019-03-21,66,4.0,,0.04,2.64
2019-03-22,52,4.0,,0.04,2.08
2019-03-23,90,4.0,,0.04,3.6
2019-03-24,51,4.0,False,0.04,2.04
2019-03-25,71,4.0,,0.04,2.84
2019-03-26,77,4.0,,0.04,3.08
2019-03-27,100,4.0,,0.04,4.0
2019-03-28,43,4.0,,0.04,1.72
2019-03-29,60,4.0,,0.04,2.4
2019-03-30,66,4.0,,0.04,2.64
2019-03-31,41,7.0,False,0.07,2.87
2019-04-01,35,7.0,,0.07,2.45
2019-04-02,86,7.0,,0.07,6.0200000000000005
2019-04-03,100,7.0,,0.07,7.000000000000001
2019-04-04,90,7.0,,0.07,6.300000000000001
2019-04-05,42,7.0,,0.07,2.9400000000000004
2019-04-06,56,7.0,,0.07,3.9200000000000004
2019-04-07,57,5.0,False,0.05,2.85
2019-04-08,84,5.0,,0.05,4.2
2019-04-09,59,5.0,,0.05,2.95
2019-04-10,44,5.0,,0.05,2.2
2019-04-11,50,5.0,,0.05,2.5
2019-04-12,48,5.0,,0.05,2.4000000000000004
2019-04-13,53,5.0,,0.05,2.6500000000000004
2019-04-14,34,6.0,False,0.06,2.04
2019-04-15,80,6.0,,0.06,4.8
2019-04-16,56,6.0,,0.06,3.36
2019-04-17,31,6.0,,0.06,1.8599999999999999
2019-04-18,80,6.0,,0.06,4.8
2019-04-19,40,6.0,,0.06,2.4
2019-04-20,60,6.0,,0.06,3.5999999999999996
2019-04-21,24,6.0,False,0.06,1.44
2019-04-22,69,6.0,,0.06,4.14
2019-04-23,81,6.0,,0.06,4.859999999999999
2019-04-24,60,6.0,,0.06,3.5999999999999996
2019-04-25,81,6.0,,0.06,4.859999999999999
2019-04-26,83,6.0,,0.06,4.9799999999999995
2019-04-27,34,6.0,,0.06,2.04
2019-04-28,45,6.0,False,0.06,2.6999999999999997
2019-04-29,59,6.0,,0.06,3.54
2019-04-30,70,6.0,,0.06,4.2
2019-05-01,38,6.0,,0.06,2.28
2019-05-02,45,6.0,,0.06,2.6999999999999997
2019-05-03,43,6.0,,0.06,2.58
2019-05-04,29,6.0,,0.06,1.74
2019-05-05,28,8.0,False,0.08,2.24
2019-05-06,42,8.0,,0.08,3.36
2019-05-07,60,8.0,,0.08,4.8
2019-05-08,35,8.0,,0.08,2.8000000000000003
2019-05-09,42,8.0,,0.08,3.36
2019-05-10,74,8.0,,0.08,5.92
2019-05-11,53,8.0,,0.08,4.24
2019-05-12,44,11.0,False,0.11,4.84
2019-05-13,90,11.0,,0.11,9.9
2019-05-14,80,11.0,,0.11,8.8
2019-05-15,93,11.0,,0.11,10.23
2019-05-16,100,11.0,,0.11,11.0
2019-05-17,77,11.0,,0.11,8.47
2019-05-18,86,11.0,,0.11,9.46
2019-05-19,36,10.0,False,0.1,3.6
2019-05-20,60,10.0,,0.1,6.0
2019-05-21,75,10.0,,0.1,7.5
2019-05-22,50,10.0,,0.1,5.0
2019-05-23,52,10.0,,0.1,5.2
2019-05-24,53,10.0,,0.1,5.300000000000001
2019-05-25,60,10.0,,0.1,6.0
2019-05-26,22,10.0,False,0.1,2.2
2019-05-27,61,10.0,,0.1,6.1000000000000005
2019-05-28,72,10.0,,0.1,7.2
2019-05-29,53,10.0,,0.1,5.300000000000001
2019-05-30,76,10.0,,0.1,7.6000000000000005
2019-05-31,90,10.0,,0.1,9.0
2019-06-01,30,10.0,,0.1,3.0
2019-06-02,39,8.0,False,0.08,3.12
2019-06-03,39,8.0,,0.08,3.12
2019-06-04,41,8.0,,0.08,3.2800000000000002
2019-06-05,44,8.0,,0.08,3.52
2019-06-06,35,8.0,,0.08,2.8000000000000003
2019-06-07,48,8.0,,0.08,3.84
2019-06-08,45,8.0,,0.08,3.6
2019-06-09,18,8.0,False,0.08,1.44
2019-06-10,23,8.0,,0.08,1.84
2019-06-11,43,8.0,,0.08,3.44
2019-06-12,49,8.0,,0.08,3.92
2019-06-13,37,8.0,,0.08,2.96
2019-06-14,38,8.0,,0.08,3.04
2019-06-15,42,8.0,,0.08,3.36
2019-06-16,34,11.0,False,0.11,3.74
2019-06-17,42,11.0,,0.11,4.62
2019-06-18,49,11.0,,0.11,5.39
2019-06-19,32,11.0,,0.11,3.52
2019-06-20,43,11.0,,0.11,4.73
2019-06-21,39,11.0,,0.11,4.29
2019-06-22,78,11.0,,0.11,8.58
2019-06-23,45,18.0,False,0.18,8.1
2019-06-24,63,18.0,,0.18,11.34
2019-06-25,79,18.0,,0.18,14.219999999999999
2019-06-26,97,18.0,,0.18,17.46
2019-06-27,100,18.0,,0.18,18.0
2019-06-28,98,18.0,,0.18,17.64
2019-06-29,57,18.0,,0.18,10.26
2019-06-30,48,15.0,False,0.15,7.199999999999999
2019-07-01,100,15.0,,0.15,15.0
2019-07-02,81,15.0,,0.15,12.15
2019-07-03,78,15.0,,0.15,11.7
2019-07-04,84,15.0,,0.15,12.6
2019-07-05,63,15.0,,0.15,9.45
2019-07-06,40,15.0,,0.15,6.0
2019-07-07,48,15.0,False,0.15,7.199999999999999
2019-07-08,46,15.0,,0.15,6.8999999999999995
2019-07-09,88,15.0,,0.15,13.2
2019-07-10,69,15.0,,0.15,10.35
2019-07-11,50,15.0,,0.15,7.5
2019-07-12,75,15.0,,0.15,11.25
2019-07-13,50,15.0,,0.15,7.5
2019-07-14,39,13.0,False,0.13,5.07
2019-07-15,61,13.0,,0.13,7.930000000000001
2019-07-16,67,13.0,,0.13,8.71
2019-07-17,95,13.0,,0.13,12.35
2019-07-18,96,13.0,,0.13,12.48
2019-07-19,58,13.0,,0.13,7.54
2019-07-20,48,13.0,,0.13,6.24
2019-07-21,67,10.0,False,0.1,6.7
2019-07-22,63,10.0,,0.1,6.300000000000001
2019-07-23,52,10.0,,0.1,5.2
2019-07-24,65,10.0,,0.1,6.5
2019-07-25,37,10.0,,0.1,3.7
2019-07-26,23,10.0,,0.1,2.3000000000000003
2019-07-27,47,10.0,,0.1,4.7
2019-07-28,44,9.0,False,0.09,3.96
2019-07-29,56,9.0,,0.09,5.04
2019-07-30,42,9.0,,0.09,3.78
2019-07-31,53,9.0,,0.09,4.77
2019-08-01,52,9.0,,0.09,4.68
2019-08-02,51,9.0,,0.09,4.59
2019-08-03,43,9.0,,0.09,3.8699999999999997
2019-08-04,43,14.0,False,0.14,6.0200000000000005
2019-08-05,82,14.0,,0.14,11.48
2019-08-06,83,14.0,,0.14,11.620000000000001
2019-08-07,65,14.0,,0.14,9.100000000000001
2019-08-08,100,14.0,,0.14,14.000000000000002
2019-08-09,39,14.0,,0.14,5.460000000000001
2019-08-10,62,14.0,,0.14,8.680000000000001
2019-08-11,49,13.0,False,0.13,6.37
2019-08-12,81,13.0,,0.13,10.530000000000001
2019-08-13,73,13.0,,0.13,9.49
2019-08-14,74,13.0,,0.13,9.620000000000001
2019-08-15,92,13.0,,0.13,11.96
2019-08-16,80,13.0,,0.13,10.4
2019-08-17,61,13.0,,0.13,7.930000000000001
2019-08-18,72,12.0,False,0.12,8.64
2019-08-19,70,12.0,,0.12,8.4
2019-08-20,65,12.0,,0.12,7.8
2019-08-21,68,12.0,,0.12,8.16
2019-08-22,63,12.0,,0.12,7.56
2019-08-23,47,12.0,,0.12,5.64
2019-08-24,66,12.0,,0.12,7.92
2019-08-25,31,10.0,False,0.1,3.1
2019-08-26,63,10.0,,0.1,6.300000000000001
2019-08-27,54,10.0,,0.1,5.4
2019-08-28,64,10.0,,0.1,6.4
2019-08-29,56,10.0,,0.1,5.6000000000000005
2019-08-30,57,10.0,,0.1,5.7
2019-08-31,35,10.0,,0.1,3.5
2019-09-01,34,9.0,False,0.09,3.06
2019-09-02,85,9.0,,0.09,7.6499999999999995
2019-09-03,77,9.0,,0.09,6.93
2019-09-04,97,9.0,,0.09,8.73
2019-09-05,97,9.0,,0.09,8.73
2019-09-06,81,9.0,,0.09,7.29
2019-09-07,38,9.0,,0.09,3.42
2019-09-08,63,10.0,False,0.1,6.300000000000001
2019-09-09,74,10.0,,0.1,7.4
2019-09-10,67,10.0,,0.1,6.7
2019-09-11,66,10.0,,0.1,6.6000000000000005
2019-09-12,100,10.0,,0.1,10.0
2019-09-13,54,10.0,,0.1,5.4
2019-09-14,89,10.0,,0.1,8.9
2019-09-15,37,7.0,False,0.07,2.5900000000000003
2019-09-16,74,7.0,,0.07,5.180000000000001
2019-09-17,36,7.0,,0.07,2.5200000000000005
2019-09-18,51,7.0,,0.07,3.5700000000000003
2019-09-19,70,7.0,,0.07,4.9
2019-09-20,73,7.0,,0.07,5.11
2019-09-21,21,7.0,,0.07,1.4700000000000002
2019-09-22,57,10.0,False,0.1,5.7
2019-09-23,39,10.0,,0.1,3.9000000000000004
2019-09-24,75,10.0,,0.1,7.5
2019-09-25,93,10.0,,0.1,9.3
2019-09-26,70,10.0,,0.1,7.0
2019-09-27,96,10.0,,0.1,9.600000000000001
2019-09-28,63,10.0,,0.1,6.300000000000001
2019-09-29,79,9.0,False,0.09,7.109999999999999
2019-09-30,77,9.0,,0.09,6.93
2019-10-01,77,9.0,,0.09,6.93
2019-10-02,77,9.0,,0.09,6.93
2019-10-03,48,9.0,,0.09,4.32
2019-10-04,51,9.0,,0.09,4.59
2019-10-05,33,9.0,,0.09,2.9699999999999998
2019-10-06,22,8.0,False,0.08,1.76
2019-10-07,45,8.0,,0.08,3.6
2019-10-08,72,8.0,,0.08,5.76
2019-10-09,59,8.0,,0.08,4.72
2019-10-10,52,8.0,,0.08,4.16
2019-10-11,56,8.0,,0.08,4.48
2019-10-12,33,8.0,,0.08,2.64
2019-10-13,33,9.0,False,0.09,2.9699999999999998
2019-10-14,55,9.0,,0.09,4.95
2019-10-15,54,9.0,,0.09,4.859999999999999
2019-10-16,54,9.0,,0.09,4.859999999999999
2019-10-17,52,9.0,,0.09,4.68
2019-10-18,58,9.0,,0.09,5.22
2019-10-19,63,9.0,,0.09,5.67
2019-10-20,29,10.0,False,0.1,2.9000000000000004
2019-10-21,60,10.0,,0.1,6.0
