date,bitcoin dolar_unscaled,bitcoin dolar_monthly,isPartial,scale,bitcoin dolar
2019-12-10,83,6.0,,0.06,4.9799999999999995
2019-12-11,59,6.0,,0.06,3.54
2019-12-12,51,6.0,,0.06,3.06
2019-12-13,61,6.0,,0.06,3.6599999999999997
2019-12-14,56,6.0,,0.06,3.36
2019-12-15,41,7.0,False,0.07,2.87
2019-12-16,49,7.0,,0.07,3.43
2019-12-17,100,7.0,,0.07,7.000000000000001
2019-12-18,68,7.0,,0.07,4.760000000000001
2019-12-19,85,7.0,,0.07,5.95
2019-12-20,69,7.0,,0.07,4.83
2019-12-21,73,7.0,,0.07,5.11
2019-12-22,42,7.0,False,0.07,2.9400000000000004
2019-12-23,82,7.0,,0.07,5.74
2019-12-24,89,7.0,,0.07,6.23
2019-12-25,57,7.0,,0.07,3.99
2019-12-26,80,7.0,,0.07,5.6000000000000005
2019-12-27,54,7.0,,0.07,3.7800000000000002
2019-12-28,58,7.0,,0.07,4.0600000000000005
2019-12-29,83,5.0,False,0.05,4.15
2019-12-30,66,5.0,,0.05,3.3000000000000003
2019-12-31,57,5.0,,0.05,2.85
2020-01-01,15,5.0,,0.05,0.75
2020-01-02,60,5.0,,0.05,3.0
2020-01-03,49,5.0,,0.05,2.45
2020-01-04,55,5.0,,0.05,2.75
2020-01-05,30,10.0,False,0.1,3.0
2020-01-06,57,10.0,,0.1,5.7
2020-01-07,95,10.0,,0.1,9.5
2020-01-08,100,10.0,,0.1,10.0
2020-01-09,45,10.0,,0.1,4.5
2020-01-10,63,10.0,,0.1,6.300000000000001
2020-01-11,63,10.0,,0.1,6.300000000000001
2020-01-12,46,8.0,False,0.08,3.68
2020-01-13,30,8.0,,0.08,2.4
2020-01-14,49,8.0,,0.08,3.92
2020-01-15,68,8.0,,0.08,5.44
2020-01-16,53,8.0,,0.08,4.24
2020-01-17,51,8.0,,0.08,4.08
2020-01-18,36,8.0,,0.08,2.88
2020-01-19,68,6.0,False,0.06,4.08
2020-01-20,36,6.0,,0.06,2.16
2020-01-21,41,6.0,,0.06,2.46
2020-01-22,65,6.0,,0.06,3.9
2020-01-23,50,6.0,,0.06,3.0
2020-01-24,46,6.0,,0.06,2.76
2020-01-25,33,6.0,,0.06,1.98
2020-01-26,26,9.0,False,0.09,2.34
2020-01-27,65,9.0,,0.09,5.85
2020-01-28,58,9.0,,0.09,5.22
2020-01-29,64,9.0,,0.09,5.76
2020-01-30,45,9.0,,0.09,4.05
2020-01-31,49,9.0,,0.09,4.41
2020-02-01,51,9.0,,0.09,4.59
2020-02-02,45,8.0,False,0.08,3.6
2020-02-03,88,8.0,,0.08,7.04
2020-02-04,41,8.0,,0.08,3.2800000000000002
2020-02-05,48,8.0,,0.08,3.84
2020-02-06,75,8.0,,0.08,6.0
2020-02-07,100,8.0,,0.08,8.0
2020-02-08,54,8.0,,0.08,4.32
2020-02-09,56,8.0,False,0.08,4.48
2020-02-10,60,8.0,,0.08,4.8
2020-02-11,86,8.0,,0.08,6.88
2020-02-12,74,8.0,,0.08,5.92
2020-02-13,72,8.0,,0.08,5.76
2020-02-14,67,8.0,,0.08,5.36
2020-02-15,46,8.0,,0.08,3.68
2020-02-16,37,7.0,False,0.07,2.5900000000000003
2020-02-17,61,7.0,,0.07,4.2700000000000005
2020-02-18,89,7.0,,0.07,6.23
2020-02-19,76,7.0,,0.07,5.32
2020-02-20,57,7.0,,0.07,3.99
2020-02-21,56,7.0,,0.07,3.9200000000000004
2020-02-22,49,7.0,,0.07,3.43
2020-02-23,63,9.0,False,0.09,5.67
2020-02-24,47,9.0,,0.09,4.2299999999999995
2020-02-25,53,9.0,,0.09,4.77
2020-02-26,58,9.0,,0.09,5.22
2020-02-27,64,9.0,,0.09,5.76
2020-02-28,68,9.0,,0.09,6.12
2020-02-29,41,9.0,,0.09,3.69
2020-03-01,24,8.0,False,0.08,1.92
2020-03-02,28,8.0,,0.08,2.24
2020-03-03,30,8.0,,0.08,2.4
2020-03-04,22,8.0,,0.08,1.76
2020-03-05,30,8.0,,0.08,2.4
2020-03-06,32,8.0,,0.08,2.56
2020-03-07,18,8.0,,0.08,1.44
2020-03-08,18,18.0,False,0.18,3.2399999999999998
2020-03-09,47,18.0,,0.18,8.459999999999999
2020-03-10,42,18.0,,0.18,7.56
2020-03-11,39,18.0,,0.18,7.02
2020-03-12,83,18.0,,0.18,14.94
2020-03-13,100,18.0,,0.18,18.0
2020-03-14,44,18.0,,0.18,7.92
2020-03-15,44,21.0,False,0.21,9.24
2020-03-16,65,21.0,,0.21,13.65
2020-03-17,72,21.0,,0.21,15.12
2020-03-18,72,21.0,,0.21,15.12
2020-03-19,62,21.0,,0.21,13.02
2020-03-20,57,21.0,,0.21,11.969999999999999
2020-03-21,51,21.0,,0.21,10.709999999999999
2020-03-22,50,15.0,False,0.15,7.5
2020-03-23,55,15.0,,0.15,8.25
2020-03-24,39,15.0,,0.15,5.85
2020-03-25,45,15.0,,0.15,6.75
2020-03-26,37,15.0,,0.15,5.55
2020-03-27,30,15.0,,0.15,4.5
2020-03-28,28,15.0,,0.15,4.2
2020-03-29,29,11.0,False,0.11,3.19
2020-03-30,38,11.0,,0.11,4.18
2020-03-31,31,11.0,,0.11,3.41
2020-04-01,44,11.0,,0.11,4.84
2020-04-02,50,11.0,,0.11,5.5
2020-04-03,52,11.0,,0.11,5.72
2020-04-04,38,11.0,,0.11,4.18
2020-04-05,40,13.0,False,0.13,5.2
2020-04-06,46,13.0,,0.13,5.98
2020-04-07,58,13.0,,0.13,7.54
2020-04-08,57,13.0,,0.13,7.41
2020-04-09,49,13.0,,0.13,6.37
2020-04-10,54,13.0,,0.13,7.0200000000000005
2020-04-11,48,13.0,,0.13,6.24
2020-04-12,50,14.0,False,0.14,7.000000000000001
2020-04-13,57,14.0,,0.14,7.98
2020-04-14,47,14.0,,0.14,6.580000000000001
2020-04-15,44,14.0,,0.14,6.16
2020-04-16,62,14.0,,0.14,8.680000000000001
2020-04-17,53,14.0,,0.14,7.420000000000001
2020-04-18,40,14.0,,0.14,5.6000000000000005
2020-04-19,32,14.0,False,0.14,4.48
2020-04-20,28,14.0,,0.14,3.9200000000000004
2020-04-21,43,14.0,,0.14,6.0200000000000005
2020-04-22,42,14.0,,0.14,5.880000000000001
2020-04-23,59,14.0,,0.14,8.260000000000002
2020-04-24,100,14.0,,0.14,14.000000000000002
2020-04-25,48,14.0,,0.14,6.720000000000001
2020-04-26,40,16.0,False,0.16,6.4
2020-04-27,47,16.0,,0.16,7.5200000000000005
2020-04-28,52,16.0,,0.16,8.32
2020-04-29,80,16.0,,0.16,12.8
2020-04-30,67,16.0,,0.16,10.72
2020-05-01,51,16.0,,0.16,8.16
2020-05-02,56,16.0,,0.16,8.96
2020-05-03,56,19.0,False,0.19,10.64
2020-05-04,90,19.0,,0.19,17.1
2020-05-05,50,19.0,,0.19,9.5
2020-05-06,63,19.0,,0.19,11.97
2020-05-07,85,19.0,,0.19,16.15
2020-05-08,95,19.0,,0.19,18.05
2020-05-09,77,19.0,,0.19,14.63
2020-05-10,65,19.0,False,0.19,12.35
2020-05-11,89,19.0,,0.19,16.91
2020-05-12,100,19.0,,0.19,19.0
2020-05-13,83,19.0,,0.19,15.77
2020-05-14,72,19.0,,0.19,13.68
2020-05-15,57,19.0,,0.19,10.83
2020-05-16,62,19.0,,0.19,11.78
2020-05-17,77,19.0,False,0.19,14.63
2020-05-18,69,19.0,,0.19,13.11
2020-05-19,53,19.0,,0.19,10.07
2020-05-20,56,19.0,,0.19,10.64
2020-05-21,83,19.0,,0.19,15.77
2020-05-22,61,19.0,,0.19,11.59
2020-05-23,58,19.0,,0.19,11.02
2020-05-24,42,13.0,False,0.13,5.46
2020-05-25,61,13.0,,0.13,7.930000000000001
2020-05-26,68,13.0,,0.13,8.84
2020-05-27,72,13.0,,0.13,9.36
2020-05-28,40,13.0,,0.13,5.2
2020-05-29,42,13.0,,0.13,5.46
2020-05-30,67,13.0,,0.13,8.71
2020-05-31,48,15.0,False,0.15,7.199999999999999
2020-06-01,71,15.0,,0.15,10.65
2020-06-02,86,15.0,,0.15,12.9
2020-06-03,94,15.0,,0.15,14.1
2020-06-04,93,15.0,,0.15,13.95
2020-06-05,80,15.0,,0.15,12.0
2020-06-06,71,15.0,,0.15,10.65
2020-06-07,60,13.0,False,0.13,7.800000000000001
2020-06-08,82,13.0,,0.13,10.66
2020-06-09,80,13.0,,0.13,10.4
2020-06-10,60,13.0,,0.13,7.800000000000001
2020-06-11,100,13.0,,0.13,13.0
2020-06-12,89,13.0,,0.13,11.57
2020-06-13,68,13.0,,0.13,8.84
2020-06-14,28,11.0,False,0.11,3.08
2020-06-15,75,11.0,,0.11,8.25
2020-06-16,55,11.0,,0.11,6.05
2020-06-17,71,11.0,,0.11,7.81
2020-06-18,67,11.0,,0.11,7.37
2020-06-19,48,11.0,,0.11,5.28
2020-06-20,58,11.0,,0.11,6.38
2020-06-21,36,11.0,False,0.11,3.96
2020-06-22,47,11.0,,0.11,5.17
2020-06-23,59,11.0,,0.11,6.49
2020-06-24,63,11.0,,0.11,6.93
2020-06-25,48,11.0,,0.11,5.28
2020-06-26,54,11.0,,0.11,5.94
2020-06-27,45,11.0,,0.11,4.95
2020-06-28,44,9.0,False,0.09,3.96
2020-06-29,50,9.0,,0.09,4.5
2020-06-30,50,9.0,,0.09,4.5
2020-07-01,49,9.0,,0.09,4.41
2020-07-02,33,9.0,,0.09,2.9699999999999998
2020-07-03,48,9.0,,0.09,4.32
2020-07-04,38,9.0,,0.09,3.42
2020-07-05,36,9.0,False,0.09,3.2399999999999998
