date,bitcoin dollar_unscaled,bitcoin dollar_monthly,isPartial,scale,bitcoin dollar
2019-03-19,42,6.0,,0.06,2.52
2019-03-20,37,6.0,,0.06,2.2199999999999998
2019-03-21,99,6.0,,0.06,5.9399999999999995
2019-03-22,85,6.0,,0.06,5.1
2019-03-23,42,6.0,,0.06,2.52
2019-03-24,46,6.0,False,0.06,2.76
2019-03-25,37,6.0,,0.06,2.2199999999999998
2019-03-26,66,6.0,,0.06,3.96
2019-03-27,45,6.0,,0.06,2.6999999999999997
2019-03-28,45,6.0,,0.06,2.6999999999999997
2019-03-29,71,6.0,,0.06,4.26
2019-03-30,60,6.0,,0.06,3.5999999999999996
2019-03-31,17,11.0,False,0.11,1.87
2019-04-01,68,11.0,,0.11,7.48
2019-04-02,37,11.0,,0.11,4.07
2019-04-03,100,11.0,,0.11,11.0
2019-04-04,95,11.0,,0.11,10.45
2019-04-05,71,11.0,,0.11,7.81
2019-04-06,54,11.0,,0.11,5.94
2019-04-07,42,8.0,False,0.08,3.36
2019-04-08,73,8.0,,0.08,5.84
2019-04-09,42,8.0,,0.08,3.36
2019-04-10,57,8.0,,0.08,4.5600000000000005
2019-04-11,32,8.0,,0.08,2.56
2019-04-12,73,8.0,,0.08,5.84
2019-04-13,75,8.0,,0.08,6.0
2019-04-14,42,6.0,False,0.06,2.52
2019-04-15,16,6.0,,0.06,0.96
2019-04-16,37,6.0,,0.06,2.2199999999999998
2019-04-17,61,6.0,,0.06,3.6599999999999997
2019-04-18,34,6.0,,0.06,2.04
2019-04-19,48,6.0,,0.06,2.88
2019-04-20,32,6.0,,0.06,1.92
2019-04-21,83,7.0,False,0.07,5.8100000000000005
2019-04-22,33,7.0,,0.07,2.31
2019-04-23,80,7.0,,0.07,5.6000000000000005
2019-04-24,42,7.0,,0.07,2.9400000000000004
2019-04-25,37,7.0,,0.07,2.5900000000000003
2019-04-26,66,7.0,,0.07,4.62
2019-04-27,36,7.0,,0.07,2.5200000000000005
2019-04-28,41,7.0,False,0.07,2.87
2019-04-29,41,7.0,,0.07,2.87
2019-04-30,37,7.0,,0.07,2.5900000000000003
2019-05-01,19,7.0,,0.07,1.33
2019-05-02,43,7.0,,0.07,3.0100000000000002
2019-05-03,49,7.0,,0.07,3.43
2019-05-04,33,7.0,,0.07,2.31
2019-05-05,48,9.0,False,0.09,4.32
2019-05-06,25,9.0,,0.09,2.25
2019-05-07,29,9.0,,0.09,2.61
2019-05-08,47,9.0,,0.09,4.2299999999999995
2019-05-09,55,9.0,,0.09,4.95
2019-05-10,57,9.0,,0.09,5.13
2019-05-11,69,9.0,,0.09,6.21
2019-05-12,100,18.0,False,0.18,18.0
2019-05-13,84,18.0,,0.18,15.12
2019-05-14,79,18.0,,0.18,14.219999999999999
2019-05-15,73,18.0,,0.18,13.139999999999999
2019-05-16,70,18.0,,0.18,12.6
2019-05-17,76,18.0,,0.18,13.68
2019-05-18,63,18.0,,0.18,11.34
2019-05-19,78,14.0,False,0.14,10.920000000000002
2019-05-20,57,14.0,,0.14,7.98
2019-05-21,60,14.0,,0.14,8.4
2019-05-22,46,14.0,,0.14,6.44
2019-05-23,98,14.0,,0.14,13.72
2019-05-24,56,14.0,,0.14,7.840000000000001
2019-05-25,42,14.0,,0.14,5.880000000000001
2019-05-26,41,14.0,False,0.14,5.74
2019-05-27,77,14.0,,0.14,10.780000000000001
2019-05-28,53,14.0,,0.14,7.420000000000001
2019-05-29,84,14.0,,0.14,11.760000000000002
2019-05-30,61,14.0,,0.14,8.540000000000001
2019-05-31,49,14.0,,0.14,6.86
2019-06-01,24,14.0,,0.14,3.3600000000000003
2019-06-02,11,11.0,False,0.11,1.21
2019-06-03,34,11.0,,0.11,3.74
2019-06-04,37,11.0,,0.11,4.07
2019-06-05,24,11.0,,0.11,2.64
2019-06-06,31,11.0,,0.11,3.41
2019-06-07,26,11.0,,0.11,2.86
2019-06-08,23,11.0,,0.11,2.53
2019-06-09,26,11.0,False,0.11,2.86
2019-06-10,26,11.0,,0.11,2.86
2019-06-11,30,11.0,,0.11,3.3
2019-06-12,33,11.0,,0.11,3.63
2019-06-13,33,11.0,,0.11,3.63
2019-06-14,25,11.0,,0.11,2.75
2019-06-15,30,11.0,,0.11,3.3
2019-06-16,60,17.0,False,0.17,10.200000000000001
2019-06-17,37,17.0,,0.17,6.29
2019-06-18,35,17.0,,0.17,5.95
2019-06-19,41,17.0,,0.17,6.970000000000001
2019-06-20,59,17.0,,0.17,10.030000000000001
2019-06-21,47,17.0,,0.17,7.99
2019-06-22,59,17.0,,0.17,10.030000000000001
2019-06-23,50,23.0,False,0.23,11.5
2019-06-24,66,23.0,,0.23,15.180000000000001
2019-06-25,61,23.0,,0.23,14.030000000000001
2019-06-26,100,23.0,,0.23,23.0
2019-06-27,76,23.0,,0.23,17.48
2019-06-28,71,23.0,,0.23,16.330000000000002
2019-06-29,38,23.0,,0.23,8.74
2019-06-30,54,17.0,False,0.17,9.180000000000001
2019-07-01,78,17.0,,0.17,13.260000000000002
2019-07-02,82,17.0,,0.17,13.940000000000001
2019-07-03,75,17.0,,0.17,12.750000000000002
2019-07-04,68,17.0,,0.17,11.56
2019-07-05,100,17.0,,0.17,17.0
2019-07-06,45,17.0,,0.17,7.65
2019-07-07,69,16.0,False,0.16,11.040000000000001
2019-07-08,62,16.0,,0.16,9.92
2019-07-09,64,16.0,,0.16,10.24
2019-07-10,77,16.0,,0.16,12.32
2019-07-11,93,16.0,,0.16,14.88
2019-07-12,47,16.0,,0.16,7.5200000000000005
2019-07-13,60,16.0,,0.16,9.6
2019-07-14,62,17.0,False,0.17,10.540000000000001
2019-07-15,68,17.0,,0.17,11.56
2019-07-16,32,17.0,,0.17,5.44
2019-07-17,75,17.0,,0.17,12.750000000000002
2019-07-18,34,17.0,,0.17,5.78
2019-07-19,53,17.0,,0.17,9.01
2019-07-20,76,17.0,,0.17,12.920000000000002
2019-07-21,46,13.0,False,0.13,5.98
2019-07-22,46,13.0,,0.13,5.98
2019-07-23,66,13.0,,0.13,8.58
2019-07-24,48,13.0,,0.13,6.24
2019-07-25,41,13.0,,0.13,5.33
2019-07-26,38,13.0,,0.13,4.94
2019-07-27,53,13.0,,0.13,6.890000000000001
2019-07-28,64,15.0,False,0.15,9.6
2019-07-29,50,15.0,,0.15,7.5
2019-07-30,47,15.0,,0.15,7.05
2019-07-31,64,15.0,,0.15,9.6
2019-08-01,64,15.0,,0.15,9.6
2019-08-02,56,15.0,,0.15,8.4
