date,bitcoin mining_unscaled,bitcoin mining_monthly,isPartial,scale,bitcoin mining
2019-01-25,58,5.0,,0.05,2.9000000000000004
2019-01-26,53,5.0,,0.05,2.6500000000000004
2019-01-27,97,6.0,False,0.06,5.819999999999999
2019-01-28,51,6.0,,0.06,3.06
2019-01-29,67,6.0,,0.06,4.02
2019-01-30,77,6.0,,0.06,4.62
2019-01-31,83,6.0,,0.06,4.9799999999999995
2019-02-01,52,6.0,,0.06,3.12
2019-02-02,31,6.0,,0.06,1.8599999999999999
2019-02-03,52,6.0,False,0.06,3.12
2019-02-04,55,6.0,,0.06,3.3
2019-02-05,82,6.0,,0.06,4.92
2019-02-06,62,6.0,,0.06,3.7199999999999998
2019-02-07,50,6.0,,0.06,3.0
2019-02-08,56,6.0,,0.06,3.36
2019-02-09,80,6.0,,0.06,4.8
2019-02-10,100,7.0,False,0.07,7.000000000000001
2019-02-11,68,7.0,,0.07,4.760000000000001
2019-02-12,42,7.0,,0.07,2.9400000000000004
2019-02-13,57,7.0,,0.07,3.99
2019-02-14,86,7.0,,0.07,6.0200000000000005
2019-02-15,73,7.0,,0.07,5.11
2019-02-16,57,7.0,,0.07,3.99
2019-02-17,45,7.0,False,0.07,3.1500000000000004
2019-02-18,39,7.0,,0.07,2.7300000000000004
2019-02-19,57,7.0,,0.07,3.99
2019-02-20,27,7.0,,0.07,1.8900000000000001
2019-02-21,39,7.0,,0.07,2.7300000000000004
2019-02-22,36,7.0,,0.07,2.5200000000000005
2019-02-23,53,7.0,,0.07,3.7100000000000004
2019-02-24,40,6.0,False,0.06,2.4
2019-02-25,54,6.0,,0.06,3.2399999999999998
2019-02-26,43,6.0,,0.06,2.58
2019-02-27,53,6.0,,0.06,3.1799999999999997
2019-02-28,47,6.0,,0.06,2.82
2019-03-01,24,6.0,,0.06,1.44
2019-03-02,84,6.0,,0.06,5.04
2019-03-03,68,6.0,False,0.06,4.08
2019-03-04,61,6.0,,0.06,3.6599999999999997
2019-03-05,42,6.0,,0.06,2.52
2019-03-06,67,6.0,,0.06,4.02
2019-03-07,42,6.0,,0.06,2.52
2019-03-08,87,6.0,,0.06,5.22
2019-03-09,48,6.0,,0.06,2.88
2019-03-10,57,5.0,False,0.05,2.85
2019-03-11,27,5.0,,0.05,1.35
2019-03-12,69,5.0,,0.05,3.45
2019-03-13,68,5.0,,0.05,3.4000000000000004
2019-03-14,28,5.0,,0.05,1.4000000000000001
2019-03-15,100,5.0,,0.05,5.0
2019-03-16,32,5.0,,0.05,1.6
2019-03-17,58,6.0,False,0.06,3.48
2019-03-18,56,6.0,,0.06,3.36
2019-03-19,44,6.0,,0.06,2.6399999999999997
2019-03-20,61,6.0,,0.06,3.6599999999999997
2019-03-21,57,6.0,,0.06,3.42
2019-03-22,82,6.0,,0.06,4.92
2019-03-23,53,6.0,,0.06,3.1799999999999997
2019-03-24,58,5.0,False,0.05,2.9000000000000004
2019-03-25,65,5.0,,0.05,3.25
2019-03-26,46,5.0,,0.05,2.3000000000000003
2019-03-27,66,5.0,,0.05,3.3000000000000003
2019-03-28,47,5.0,,0.05,2.35
2019-03-29,64,5.0,,0.05,3.2
2019-03-30,38,5.0,,0.05,1.9000000000000001
2019-03-31,53,6.0,False,0.06,3.1799999999999997
2019-04-01,39,6.0,,0.06,2.34
2019-04-02,74,6.0,,0.06,4.4399999999999995
2019-04-03,82,6.0,,0.06,4.92
2019-04-04,100,6.0,,0.06,6.0
2019-04-05,63,6.0,,0.06,3.78
2019-04-06,39,6.0,,0.06,2.34
2019-04-07,59,7.0,False,0.07,4.130000000000001
2019-04-08,86,7.0,,0.07,6.0200000000000005
2019-04-09,64,7.0,,0.07,4.48
2019-04-10,98,7.0,,0.07,6.86
2019-04-11,44,7.0,,0.07,3.08
2019-04-12,32,7.0,,0.07,2.24
2019-04-13,51,7.0,,0.07,3.5700000000000003
2019-04-14,25,5.0,False,0.05,1.25
2019-04-15,61,5.0,,0.05,3.0500000000000003
2019-04-16,40,5.0,,0.05,2.0
2019-04-17,73,5.0,,0.05,3.6500000000000004
2019-04-18,65,5.0,,0.05,3.25
2019-04-19,50,5.0,,0.05,2.5
2019-04-20,47,5.0,,0.05,2.35
2019-04-21,42,6.0,False,0.06,2.52
2019-04-22,55,6.0,,0.06,3.3
2019-04-23,74,6.0,,0.06,4.4399999999999995
2019-04-24,39,6.0,,0.06,2.34
2019-04-25,70,6.0,,0.06,4.2
2019-04-26,41,6.0,,0.06,2.46
2019-04-27,55,6.0,,0.06,3.3
2019-04-28,73,6.0,False,0.06,4.38
